locx,locy,dist,made
6,58,5,1
-38,255,25,1
133,206,24,0
-8,3,0,1
5,4,0,1
-228,48,23,0
-18,41,4,0
14,251,25,0
127,217,25,1
-132,215,25,1
-7,17,1,1
32,48,5,0
-179,188,25,1
109,223,24,0
-226,1,22,0
6,8,1,0
179,184,25,1
10,49,5,1
-5,5,0,0
-35,52,6,0
-24,34,4,1
-1,-3,0,0
-1,59,5,1
182,184,25,0
-19,22,2,1
-121,258,28,0
-7,60,6,0
105,226,24,1
116,232,25,1
-22,59,6,0
-7,55,5,1
36,21,4,0
-24,41,4,0
73,257,26,0
-4,251,25,0
-204,158,25,0
-63,56,8,1
-130,176,21,0
236,-17,23,0
7,109,10,0
87,241,25,1
-19,8,2,1
-10,271,27,1
-120,235,26,1
92,243,25,1
-123,171,21,0
-8,0,0,0
22,95,9,0
3,8,0,1
98,236,25,0
210,146,25,1
-140,225,26,1
3,6,0,1
-115,248,27,1
5,28,2,1
-46,37,5,0
161,238,28,1
5,36,3,1
-19,29,3,1
-67,272,28,0
8,284,28,1
111,29,11,1
4,28,2,0
-8,18,1,0
-116,31,12,0
-33,33,4,0
116,256,28,1
15,89,9,0
-12,39,4,0
162,232,28,1
3,50,5,1
147,214,25,0
3,294,29,1
-27,37,4,1
-63,43,7,1
-18,87,8,0
141,222,26,0
66,25,7,1
-65,155,16,0
-22,100,10,0
-26,257,25,0
0,260,26,1
145,284,31,1
152,256,29,1
-3,66,6,0
35,80,8,1
17,42,4,1
5,50,5,1
108,239,26,0
-1,21,2,1
-136,208,24,0
226,-6,22,1
111,131,17,1
11,62,6,0
181,192,26,1
83,276,28,0
-221,122,25,1
-128,25,13,0
6,1,0,0
-2,295,29,0
-33,268,27,0
-85,250,26,1
202,145,24,1
-121,273,29,0
-28,6,2,1
-61,264,27,1
-112,247,27,0
-55,99,11,1
9,22,2,0
-18,74,7,0
64,32,7,0
-12,31,3,1
-85,258,27,0
-12,29,3,1
-14,25,2,0
-188,185,26,0
-18,60,6,1
-11,26,2,1
231,25,23,1
22,110,11,0
7,27,2,0
-2,108,10,0
11,14,1,1
-13,16,2,0
29,282,28,0
62,278,28,0
17,64,6,0
35,289,29,0
-236,59,24,0
45,113,12,1
7,5,0,1
115,308,32,0
-7,8,1,1
-100,44,10,1
48,39,6,0
86,22,8,0
-126,217,25,0
-30,253,25,1
-111,236,26,0
5,13,1,0
134,221,25,1
-225,11,22,0
-8,28,2,0
-90,281,29,0
-1,7,0,1
78,31,8,1
-54,13,5,1
-177,187,25,0
-53,71,8,0
165,200,25,1
-13,10,1,0
60,251,25,1
107,235,25,0
-52,256,26,1
107,231,25,0
-66,257,26,1
149,223,26,0
-116,246,27,1
-234,46,23,1
-28,256,25,0
-16,25,2,0
3,2,0,1
-66,247,25,1
-82,253,26,1
-120,265,29,0
-137,273,30,0
129,235,26,0
-6,4,0,1
-129,242,27,0
3,31,3,0
172,218,27,0
0,14,1,1
-234,15,23,0
-76,253,26,0
123,267,29,0
228,25,22,1
3,93,9,1
224,85,23,0
-85,245,25,0
14,258,25,0
32,94,9,1
11,82,8,1
96,251,26,1
170,199,26,0
-113,241,26,0
-5,249,24,0
-17,13,2,1
19,6,1,1
-23,23,3,0
-43,20,4,0
-158,197,25,0
-13,256,25,1
-136,225,26,1
185,173,25,1
-13,7,1,1
-9,18,2,1
-14,13,1,1
14,270,27,0
35,271,27,0
28,264,26,0
-14,255,25,1
206,145,25,1
54,255,26,1
-124,226,25,1
11,8,1,1
-5,22,2,1
-5,32,3,1
234,11,23,1
-7,44,4,0
130,210,24,1
143,225,26,0
-11,3,1,1
179,194,26,0
0,19,1,1
1,0,0,1
-75,240,25,0
122,235,26,1
-8,262,26,0
36,32,4,0
166,185,24,1
221,111,24,0
35,5,3,0
-19,44,4,0
11,-1,1,0
84,247,26,0
107,230,25,0
8,272,27,0
54,258,26,1
4,47,4,0
189,159,24,1
-11,2,1,1
22,4,2,1
94,257,27,0
-15,1,1,0
-29,279,28,0
39,15,4,1
195,216,29,0
210,156,26,1
217,156,26,1
179,205,27,0
-35,10,3,0
-7,1,0,1
-28,23,3,1
-138,207,24,1
-12,16,2,1
-163,223,27,0
-128,267,29,1
8,27,2,0
-2,93,9,1
-227,45,23,1
-8,19,2,1
-108,255,27,1
-6,69,6,0
-157,302,34,1
-30,15,3,0
-13,5,1,1
-120,233,26,0
138,214,25,0
22,268,26,1
-17,5,1,0
-18,10,2,0
-183,221,28,0
-11,20,2,1
207,121,23,1
-143,222,26,0
-2,12,1,0
-14,16,2,1
-93,253,26,0
-77,239,25,1
-12,59,6,1
-40,43,5,0
14,33,3,1
13,41,4,1
204,150,25,0
-69,335,34,0
130,231,26,1
125,248,27,0
90,243,25,1
8,57,5,0
-14,1,1,0
3,276,27,0
32,241,24,0
