locx,locy,dist,made
-10,4,1,1
143,277,31,1
-159,256,30,0
11,290,29,1
-136,238,27,0
-13,25,2,0
169,193,25,1
125,224,25,0
18,13,2,1
-14,14,1,1
-97,245,26,0
-3,3,0,1
66,255,26,1
-223,138,26,1
45,64,7,0
-192,188,26,1
-233,30,23,0
-3,16,1,0
-7,248,24,0
226,6,22,1
-149,207,25,1
44,258,26,0
-132,226,26,1
-7,20,2,1
6,68,6,1
223,-15,22,1
-7,-9,1,0
9,20,2,0
-161,189,24,1
7,19,2,1
150,237,28,0
-227,56,23,0
0,15,1,0
-31,43,5,0
-92,59,10,1
-26,29,3,0
-22,47,5,1
110,227,25,0
-135,219,25,0
-14,1,1,0
-46,26,5,0
40,63,7,0
-25,22,3,1
136,215,25,0
-227,19,22,0
27,243,24,0
0,22,2,1
174,198,26,1
171,176,24,1
93,239,25,0
31,260,26,0
-57,78,9,1
19,32,3,0
230,-10,23,0
-34,31,4,0
-43,240,24,0
0,17,1,1
115,225,25,1
155,190,24,1
143,204,24,0
-22,151,15,0
-128,215,25,1
158,192,24,0
-216,121,24,1
-30,248,24,0
-130,227,26,1
-5,11,1,1
-94,242,25,1
-122,223,25,0
-9,10,1,1
-105,232,25,0
-114,231,25,0
119,218,24,0
-11,7,1,1
217,138,25,0
105,223,24,0
-7,41,4,1
-48,25,5,0
-18,3,1,1
3,13,1,0
-107,229,25,0
35,255,25,0
-38,71,8,0
-36,271,27,1
7,278,27,1
-6,8,1,0
1,8,0,1
-62,6,6,1
-127,215,24,0
-5,6,0,1
-25,54,5,1
9,42,4,1
228,-4,22,1
38,259,26,1
-17,17,2,0
46,251,25,0
3,12,1,0
116,215,24,0
0,39,3,1
13,294,29,1
-223,107,24,0
14,12,1,1
163,207,26,0
27,259,26,0
-196,238,30,0
-30,8,3,1
-5,17,1,1
232,44,23,0
-11,10,1,0
-13,79,8,1
-5,27,2,1
-20,50,5,0
-2,29,2,0
-2,43,4,0
152,15,15,1
144,243,28,1
-114,256,28,0
116,51,12,1
20,293,29,1
2,323,32,1
8,299,29,0
2,25,2,1
111,272,29,0
0,30,3,1
-9,13,1,1
-8,6,1,1
-13,0,1,1
-13,4,1,1
-171,191,25,1
-9,47,4,0
0,-3,0,1
74,262,27,0
105,248,26,0
232,15,23,0
101,240,26,1
54,252,25,1
-6,1,0,1
-232,135,26,0
-79,252,26,0
51,77,9,0
23,77,8,0
-187,166,25,0
-37,271,27,0
-20,15,2,1
122,216,24,0
-6,11,1,1
-8,3,0,1
-18,6,1,1
-21,15,2,1
-14,24,2,0
-22,111,11,0
3,13,1,1
2,97,9,0
5,10,1,1
-8,12,1,1
-130,225,25,1
-3,26,2,0
8,8,1,1
73,247,25,0
111,241,26,0
-192,162,25,1
-29,57,6,0
-65,298,30,0
11,80,8,0
122,38,12,1
102,273,29,0
-12,6,1,0
82,270,28,1
-105,235,25,1
-12,17,2,0
6,52,5,0
-150,215,26,1
13,23,2,0
-175,210,27,1
-112,241,26,1
-14,20,2,1
116,221,24,0
3,18,1,1
3,5,0,1
-64,267,27,1
-5,37,3,1
-145,230,27,0
-228,72,23,1
-91,293,30,0
94,306,32,0
62,272,27,1
165,210,26,0
89,238,25,1
-17,260,26,1
2,1,0,0
11,15,1,0
-18,10,2,0
226,69,23,0
13,1,1,0
-7,4,0,1
161,215,26,0
188,162,24,1
169,180,24,0
-175,221,28,1
179,182,25,0
-16,11,1,0
-120,222,25,0
-87,237,25,1
139,210,25,0
11,5,1,0
136,219,25,0
-184,171,25,1
-3,15,1,0
-8,15,1,0
-108,243,26,0
-13,14,1,0
-193,177,26,1
-2,89,8,0
0,26,2,0
0,10,1,1
14,260,26,1
-6,9,1,0
-116,240,26,0
27,250,25,1
44,253,25,0
62,248,25,0
8,10,1,0
0,13,1,1
98,82,12,1
24,274,27,0
-46,58,7,0
-2,13,1,0
35,74,8,0
-226,11,22,1
147,196,24,0
-29,68,7,1
-30,254,25,0
-36,252,25,0
-3,1,0,0
-30,47,5,0
-94,235,25,1
21,256,25,0
237,0,23,0
100,10,10,1
-41,259,26,0
15,246,24,1
-182,170,24,0
-49,259,26,1
135,220,25,0
233,10,23,0
-5,-4,0,1
-3,1,0,0
-13,67,6,0
-23,4,2,0
9,42,4,0
-6,1,0,1
116,228,25,0
-8,-1,0,1
-9,6,1,0
-13,-15,1,1
-176,201,26,1
-19,15,2,0
-109,134,17,1
70,249,25,1
37,257,25,0
-24,39,4,1
-3,249,24,1
-9,267,26,0
-13,10,1,1
-116,226,25,0
73,245,25,1
47,131,13,0
